Name,Division,Title,Department,Bachelor's,Master's,Doctorate,Other
Tarek Al-Ghoussein,Arts and Humanities,Professor of Visual Arts,Visual Arts,[],[],[],['Unknown']
Muhamed Osman Al-Khalil,Arts and Humanities,Associate Professor of Practice of Arabic Language,Practice of Arabic Language,['BA University of Damascus (1993)'],['MA Indana University of Pennsylvania (1998)'],['PhD University of Ar...'],[]
Awam Amkpa,Arts and Humanities,"Dean of Arts and Humanities, Program Head of Film and New Media,  Professor of Drama, Social and Cultural Analysis","Drama, Social and Cultural Analysis",['BA Obafemi Awolowo University (Ile-Ife)'],['MA Ahmadu Bello University (Zaria)'],['PhD Bristol University '],[]
Samuel Mark Anderson,Arts and Humanities,Lecturer,Unknown,['BA University of Washington'],['MA New York University'],['PhD University of California Los Angeles'],[]
Michael Ang,Arts and Humanities,Assistant Professor of Practice of Interactive Media,Practice of Interactive Media,['BASc Computer Engineering University of Waterloo'],['MPS New York University ITP'],[],[]
Anthony Appiah,Arts and Humanities,Professor of Philosophy and Law,Philosophy and Law,"['BA, MA, PhD, Clare College, Cambridge University']",[],[],[]
Aikaterini Arfara,Arts and Humanities,"Assistant Professor of Theater, Performance Studies","Theater, Performance Studies",['BA Athens University'],['MA Athens University'],['PhD Paris I – Panthéon/Sorbonne University'],[]
Laure Salma Assaf,Arts and Humanities,Assistant Professor of Arab Crossroads Studies and Anthropology,Arab Crossroads Studies and Anthropology,[],[],['PhD Paris Nanterre University'],[]
Sun Hee Bae,Arts and Humanities,Lecturer of Writing,Writing,[],[],['PhD Harvard University'],[]
Marzia Balzani,Arts and Humanities,"Program Head, Anthropology; Research Professor of Anthropology",Anthropology,"['BA King’s College, London University']","['MSt (Master of Studies), DPhil University of Oxford']",[],[]
Wendy Bednarz,Arts and Humanities,Associate Arts Professor of Arts and New Media,Arts and New Media,"['BA Stephens College MFA Film, New York University']",[],[],[]
Zvi Ben-Dor Benite,Arts and Humanities,Professor of Arab Crossroads,Arab Crossroads,[],[],"['PhD, University of California, LA']",[]
Muhammad Umair Bilal,Arts and Humanities,Lecturer of Filmmaking Practice,Filmmaking Practice,[],"['MA Documentary Film Direction, University of Theater and Film Arts Budapest']",[],[]
Joerg Blumtritt,Arts and Humanities,"Visiting Assistant Professor of Practice of Interactive Media, Creative Technologist","Practice of Interactive Media, Creative Technologist",[],[],[],['Diplom Statistiker (Unversität München)']
Camilla Boisen,Arts and Humanities,Lecturer of Writing,Writing,"['BA History, University of Copenhagen']","['MA History, University of Copenhagen', 'MsEcon Political Theor...']",[],[]
