Name,Division,Title,Department,Bachelor's,Master's,Doctorate,Other
Tarek Abdoun,Engineering,Professor of Civil and Urban Engineering,Civil and Urban Engineering,[],[],"['PhD, Rensselaer Polytechnic Institute, NY']",[]
Hoda Al Khzaimi,Engineering,"Research Assistant Professor, Electrical & Computer Engineering",Unknown,[],[],"['PhD, Danmarks Tekniske Universitet']",[]
Tuka Waddah Alhanai,Engineering,Assistant Professor Emerging Scholar,Unknown,[],[],['PhD Massachusetts Institute of Technology'],[]
Kemal Celik,Engineering,Assistant Professor of Civil and Urban Engineering,Civil and Urban Engineering,[],[],"['PhD, University of California, Berkeley']",[]
Mohammed Daqaq,Engineering,Associate Dean of Engineering;  Professor of Mechanical Engineering,Mechanical Engineering,[],[],"['PhD, Engineering Mechanics, Virginia Tech']",[]
Niti Dhutia,Engineering,Visiting Assistant Professor,Unknown,[],"['MEng and PhD in Bioengineering, Imperial College London, United Kingdom']",[],[]
Ali Diabat,Engineering,Professor of Civil and Urban Engineering,Civil and Urban Engineering,[],[],"['PhD, Industrial Engineering, Purdue University']",[]
Mohamad Eid,Engineering,Assistant Professor of Electrical and Computer Engineering,Electrical and Computer Engineering,[],[],['PhD University of Ottawa'],[]
Yi Fang,Engineering,Assistant Professor of Electrical and Computer Engineering,Electrical and Computer Engineering,[],[],['PhD Purdue University'],[]
Borja García de Soto,Engineering,Assistant Professor of Civil and Urban Engineering,Civil and Urban Engineering,[],[],['PhD ETH Zurich'],[]
Pradeep George,Engineering,Senior Lecturer and Coordinator of Engineering Capstone Design Projects,Unknown,[],[],"['PhD, Rutgers University']",[]
Andras Gyorgy,Engineering,Assistant Professor of Electrical and Computer Engineering,Electrical and Computer Engineering,[],[],"['PhD, Massachusetts Institute of Technology']",[]
Sohmyung Ha,Engineering,Assistant Professor of Electrical and Computer Engineering,Electrical and Computer Engineering,[],[],"['PhD in Bioengineering, UC San Diego']",[]
Raed Hashaikeh,Engineering,Professor of Mechanical Engineering,Mechanical Engineering,[],[],['PhD McGill University'],[]
Nidal Hilal,Engineering,Professor of Engineering and Director of NYUAD Water Research Center,Engineering and Director of NYUAD Water Research Center,[],[],[],"['DSc University of Wales, PhD Swansea University']"
