Name,Division,Title,Department,Bachelor's,Master's,Doctorate,Other
Houssam Abdul Rahman,Science,Visiting Assistant Professor of Mathematics,Mathematics,['BSc and MSc Jordan University of Science and Technology'],[],['PhD University of Alabama at Birmingham'],[]
Azza Abouzied,Science,Associate Professor of Computer Science,Computer Science,"['BSc, MSc Dalhousie University']","['MPhil, PhD, Yale University']",[],[]
Anja Karin Achtziger,Science,Visiting Associate Professor of Psychology,Psychology,[],[],['PhD University of Konstanz'],['Diploma in Psychology Technical University of Darmstadt']
Ahmed Afzal,Science,Lecturer of Biology,Biology,[],[],"['PhD Southern Illinois University, Postdoc The Ohio State University']",[]
Hoda Al Khzaimi,Science,"Research Assistant Professor, Engineering; Director, Center of Cyber Security",Unknown,[],"[""MSc, Ecole Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble""]","['PhD, Danm...']",[]
Diogo Almeida,Science,Associate Professor of Psychology,Psychology,[],"['MSc (DEA) Cognitive Science (Ecole des Hautes Etudes en Sciences Sociales, Ecole Normale Superieure)...']",[],[]
Shady Amin,Science, Assistant Professor of Biology,Biology,"['BSc Biochemistry, University of California Santa Barbara']","['MA Chemistry, San Diego State University']",[],['...']
Francesco Arneodo,Science,Associate Dean of Science; Professor of Physics,Physics,[],"['MA University of Torino, PhD University of Rome.']",[],[]
Diogo Arsénio,Science,Associate Professor of Mathematics,Mathematics,"['BA Swiss Federal Institute of Technology, Lausanne (EPFL)']",[],['PhD New York University'],[]
Maria Baias,Science,Assistant Professor of Chemistry,Chemistry,[],[],"['PhD at RWTH-Aachen University, Germany             ']",[]
Andrew Reid Bell,Science,Assistant Professor of Environmental Studies ,Environmental Studies ,"['BA, University of Waterloo,']","['MSc, Waseda University , Shinjuku Tokyo, Japan']","['PhD, University of Mich...']",[]
Elena Beretta,Science,Visiting Professor of Mathematics,Mathematics,[],[],[],"['Laurea (MS equivalent) Universita di Milano, Italy, Abilitazione Scientifica Nazionale (Habilitation...']"
Milan Bogosavljevic,Science,Lecturer of Physics,Physics,['BSc University of Belgrade'],[],['PhD California Institute of Technology'],[]
Stéphane Boissinot,Science,Program Head of Biology; Professor of Biology,Biology,['BS and PhD Université Montpellier II'],[],[],[]
Sofiane Bouarroudj,Science,Professor of Mathematics,Mathematics,['BS Université de Constantine'],['MS Université de Paris VII (Denis Diderot)'],['PhD Université de Provence...'],[]
John Burt,Science,"Program Head, Environmental Studies;  Associate Professor of Biology",Biology,"['BS,Cape Breton University, Canada']",[],"['PhD, MS, University of Windsor, Canada', 'PGCE, University of Sunde...']",[]
Jocelyn Bélanger,Science,Assistant Professor of Psychology,Psychology,[],"['MA and PhD Social Psychology, University Maryland (College Park)']",[],[]
Federico Camia,Science,Professor of Mathematics,Mathematics,"['BA with honors, Universitá di Bologna, Italy']","['MS and PhD, New York University']",[],[]
Luiz Fernando Capretz,Science,Visiting Professor of Computer Science,Computer Science,['BSc State Univ...'],"['MSc National Space Research Institute (INPE), Brazil']","['PhD Newcastle University, UK']",[]
Dipesh Chaudhury,Science,Assistant Professor of Biology,Biology,"['BSc University of London, School of Pharmacy']",[],['PhD Open University'],[]
Qingtao Chen,Science,Assistant Professor of Mathematics,Mathematics,['BSc Fudan University'],[],['PhD UC-Berkeley'],[]
Olivia Cheung,Science,Assistant Professor of Psychology,Psychology,['BSSc Chinese University of Hong Kong'],[],['PhD Vanderbilt University'],[]
Susan Crawford,Science,Associate Lecturer of Mathematics,Mathematics,"['BSc (Joint Hons) Mathematics and Education Loughborough University, UK']","['MEd Massey University, NZ']",[],[]
Claude Desplan,Science,Silver Professor; Professor of Biology,Biology,"['BA École Normale Supérieure, St Cloud (France)']",[],['PhD Université Paris VII'],[]
Djellel Difallah,Science,Assistant Professor of Computer Science,Computer Science,[],"['MS University of Louisiana Lafayette, USA']","['PhD University of Fribourg, CH']","['Dip. Eng. USTHB, Algeria']"
Ian Dobbs-Dixon,Science,Associate Professor of Physics,Physics,"['BS and PhD University of California, Santa Cruz ']",[],[],[]
